"\"CS98\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS87\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS31\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS80\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS32\",\"OK\",\"sandbox\",\"Summer '23 Patch 11.4\""
"\"NA21\",\"OK\",\"production\",\"Summer '23 Patch 16\""
"\"CS41\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"AP3\",\"OK\",\"production\",\"Summer '23 Patch 16.4\""
"\"CS89\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS4\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"NA99\",\"OK\",\"production\",\"Summer '23 Patch 16.2\""
"\"CS59\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS28\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS24\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS63\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS62\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS58\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS81\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS42\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS60\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS22\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS44\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS45\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"AP0\",\"OK\",\"production\",\"Summer '23 Patch 16.4\""
"\"EU25\",\"OK\",\"production\",\"Summer '23 Patch 16.4\""
"\"AP28\",\"OK\",\"production\",\"Summer '23 Patch 16.4\""
"\"CS2\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS40\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS57\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"AP5\",\"OK\",\"production\",\"Summer '23 Patch 16.2\""
"\"EU26\",\"OK\",\"production\",\"Summer '23 Patch 16.4\""
"\"NA104\",\"OK\",\"production\",\"Summer '23 Patch 16.4\""
"\"CS99\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS61\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"AP4\",\"OK\",\"production\",\"Summer '23 Patch 16.2\""
"\"CS33\",\"OK\",\"sandbox\",\"Summer '23 Patch 11.4\""
"\"CS1\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS86\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS5\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS88\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"NA105\",\"OK\",\"production\",\"Summer '23 Patch 16.4\""
"\"CS6\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS84\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
"\"CS72\",\"OK\",\"sandbox\",\"Summer '23 Patch 16.4\""
